d3mIndex,filename,bounding_box
0,2016-09-22__10-33-33-126.jpg,"1802,1583,1802,1719,1944,1719,1944,1583"
0,2016-09-22__10-33-33-126.jpg,"1759,2348,1759,2544,1969,2544,1969,2348"
0,2016-09-22__10-33-33-126.jpg,"1727,2830,1727,3012,1841,3012,1841,2830"
1,2016-09-26__13-04-01-806.jpg,"5,376,5,573,130,573,130,376"
2,2016-09-26__13-12-31-474.jpg,"962,394,962,569,1062,569,1062,394"
2,2016-09-26__13-12-31-474.jpg,"869,1523,869,1673,966,1673,966,1523"
3,2016-09-28__12-58-54-306.jpg,"1212,40,1212,337,1352,337,1352,40"
3,2016-09-28__12-58-54-306.jpg,"1259,1380,1259,1533,1323,1533,1323,1380"
3,2016-09-28__12-58-54-306.jpg,"1298,1537,1298,1683,1380,1683,1380,1537"
3,2016-09-28__12-58-54-306.jpg,"1327,2401,1327,2590,1423,2590,1423,2401"
3,2016-09-28__12-58-54-306.jpg,"1144,2526,1144,2644,1241,2644,1241,2526"
3,2016-09-28__12-58-54-306.jpg,"1319,3137,1319,3296,1395,3296,1395,3137"
4,2016-09-29__11-13-56-793.jpg,"852,469,852,655,1048,655,1048,469"
4,2016-09-29__11-13-56-793.jpg,"816,1937,816,2137,987,2137,987,1937"
4,2016-09-29__11-13-56-793.jpg,"837,3058,837,3215,930,3215,930,3058"
6,2016-09-30__10-22-48-964.jpg,"298,1983,298,2137,487,2137,487,1983"
6,2016-09-30__10-22-48-964.jpg,"59,2262,59,2508,284,2508,284,2262"
6,2016-09-30__10-22-48-964.jpg,"16,2676,16,2915,298,2915,298,2676"
6,2016-09-30__10-22-48-964.jpg,"405,2723,405,2940,516,2940,516,2723"
6,2016-09-30__10-22-48-964.jpg,"2359,2858,2359,3150,2472,3150,2472,2858"
6,2016-09-30__10-22-48-964.jpg,"405,2948,405,3087,502,3087,502,2948"
6,2016-09-30__10-22-48-964.jpg,"734,2662,734,2805,834,2805,834,2662"
6,2016-09-30__10-22-48-964.jpg,"712,2062,712,2158,794,2158,794,2062"
6,2016-09-30__10-22-48-964.jpg,"409,1665,409,1833,512,1833,512,1665"
9,2016-09-30__13-05-27-634.jpg,"48,1558,48,1812,352,1812,352,1558"
9,2016-09-30__13-05-27-634.jpg,"437,1748,437,2008,641,2008,641,1748"
9,2016-09-30__13-05-27-634.jpg,"9,2219,9,2498,230,2498,230,2219"
9,2016-09-30__13-05-27-634.jpg,"269,3133,269,3294,523,3294,523,3133"
9,2016-09-30__13-05-27-634.jpg,"209,190,209,465,502,465,502,190"
9,2016-09-30__13-05-27-634.jpg,"305,765,305,858,466,858,466,765"
10,2016-09-30__13-08-58-393.jpg,"91,258,91,494,262,494,262,258"
10,2016-09-30__13-08-58-393.jpg,"144,176,144,287,237,287,237,176"
10,2016-09-30__13-08-58-393.jpg,"12,1305,12,1494,173,1494,173,1305"
10,2016-09-30__13-08-58-393.jpg,"55,2180,55,2348,223,2348,223,2180"
10,2016-09-30__13-08-58-393.jpg,"77,2812,77,3001,209,3001,209,2812"
10,2016-09-30__13-08-58-393.jpg,"5,3087,5,3240,91,3240,91,3087"
10,2016-09-30__13-08-58-393.jpg,"2073,694,2073,805,2237,805,2237,694"
10,2016-09-30__13-08-58-393.jpg,"2209,1637,2209,1769,2412,1769,2412,1637"
10,2016-09-30__13-08-58-393.jpg,"1980,1926,1980,2140,2152,2140,2152,1926"
10,2016-09-30__13-08-58-393.jpg,"1677,1776,1677,1869,1791,1869,1791,1776"
10,2016-09-30__13-08-58-393.jpg,"2180,2108,2180,2394,2352,2394,2352,2108"
11,2016-10-03__11-20-02-684.jpg,"394,51,394,173,548,173,548,51"
11,2016-10-03__11-20-02-684.jpg,"648,101,648,273,862,273,862,101"
11,2016-10-03__11-20-02-684.jpg,"984,258,984,465,1159,465,1159,258"
11,2016-10-03__11-20-02-684.jpg,"709,1255,709,1465,894,1465,894,1255"
11,2016-10-03__11-20-02-684.jpg,"773,2694,773,2923,891,2923,891,2694"
11,2016-10-03__11-20-02-684.jpg,"580,2651,580,2758,662,2758,662,2651"
13,2016-10-03__12-02-47-591.jpg,"187,494,187,762,394,762,394,494"
13,2016-10-03__12-02-47-591.jpg,"12,2762,12,2923,212,2923,212,2762"
13,2016-10-03__12-02-47-591.jpg,"2180,2515,2180,2815,2423,2815,2423,2515"
14,2016-10-04__11-26-56-882.jpg,"1269,1015,1269,1158,1384,1158,1384,1015"
14,2016-10-04__11-26-56-882.jpg,"1641,801,1641,937,1777,937,1777,801"
14,2016-10-04__11-26-56-882.jpg,"1580,1244,1580,1405,1762,1405,1762,1244"
14,2016-10-04__11-26-56-882.jpg,"1487,1444,1487,1662,1605,1662,1605,1444"
14,2016-10-04__11-26-56-882.jpg,"1512,2569,1512,2726,1652,2726,1652,2569"
14,2016-10-04__11-26-56-882.jpg,"1394,2937,1394,3101,1466,3101,1466,2937"
14,2016-10-04__11-26-56-882.jpg,"1277,2994,1277,3115,1369,3115,1369,2994"
14,2016-10-04__11-26-56-882.jpg,"1623,3187,1623,3296,1722,3296,1722,3187"
16,2016-10-05__10-52-26-539.jpg,"1037,1348,1037,1544,1194,1544,1194,1348"
16,2016-10-05__10-52-26-539.jpg,"1130,1023,1130,1158,1269,1158,1269,1023"
16,2016-10-05__10-52-26-539.jpg,"494,1398,494,1576,734,1576,734,1398"
16,2016-10-05__10-52-26-539.jpg,"927,1912,927,2094,1094,2094,1094,1912"
16,2016-10-05__10-52-26-539.jpg,"1098,2980,1098,3255,1298,3255,1298,2980"
17,2016-10-05__11-08-31-247.jpg,"212,1123,212,1287,366,1287,366,1123"
17,2016-10-05__11-08-31-247.jpg,"2005,1680,2005,1858,2184,1858,2184,1680"
19,2016-10-05__11-24-06-598.jpg,"16,983,16,1065,98,1065,98,983"
19,2016-10-05__11-24-06-598.jpg,"1952,715,1952,837,2102,837,2102,715"
19,2016-10-05__11-24-06-598.jpg,"2002,1405,2002,1580,2134,1580,2134,1405"
19,2016-10-05__11-24-06-598.jpg,"127,2090,127,2180,205,2180,205,2090"
21,2016-10-06__11-30-14-275.jpg,"805,176,805,515,1062,515,1062,176"
21,2016-10-06__11-30-14-275.jpg,"1116,1,1116,144,1327,144,1327,1"
21,2016-10-06__11-30-14-275.jpg,"1369,337,1369,530,1552,530,1552,337"
21,2016-10-06__11-30-14-275.jpg,"1384,65,1384,155,1530,155,1530,65"
21,2016-10-06__11-30-14-275.jpg,"812,580,812,769,1116,769,1116,580"
